Biotic_group;Group;SpeciesGroup;Species;SppID;IndicatorCode;Name of Indicator;Category
Zooplankton;Pelagic Habitats;Zooplankton;;;;N. scintilans, spring;Pelagic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;B mesozooplankton, spring;Pelagic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;B mesozooplankton, summer;Pelagic_Habitats
Fish;Fish;Fish;;;;H index fish;Fish
Fish;Fish;Commercial Fish;E. encrasicolus;;F/FMsy;E. encrasicolus;Fish
Fish;Fish;Commercial Fish;L. budegassa;;F/FMsy;L. budegassa;Fish
Fish;Fish;Commercial Fish;L. piscatorius;;F/FMsy;L. piscatorius;Fish
Fish;Fish;Commercial Fish;M. barbatus;;F/FMsy;M. barbatus;Fish
Fish;Fish;Commercial Fish;M. merluccius;;F/FMsy;M. merluccius;Fish
Fish;Fish;Commercial Fish;M. surmuletus;;F/FMsy;M. surmuletus;Fish
Fish;Fish;Commercial Fish;P. bogaraveo;;F/FMsy;P. bogaraveo;Fish
Fish;Fish;Commercial Fish;S. pilchardus;;F/FMsy;S. pilchardus;Fish
Fish;Fish;Commercial Fish;B. boops;;F/FMsy;B. boops;Fish
Invertebrate fisheries;Benthic Habitats;Invertebrates;A. antennatus;;F/FMsy;A. antennatus;Benthos
Invertebrate fisheries;Benthic Habitats;Invertebrates;P. longirostris;;F/FMsy;P. longirostris;Benthos
Fish;Fish;Commercial Fish;M. poutassou;;F/FMsy;M. poutassou;Fish
Invertebrate fisheries;Benthic Habitats;Invertebrates;N. norvegicus;;F/FMsy;N. norvegicus;Benthos
Fish;Fish;Commercial Fish;D. labrax;;F/FMsy;D. labrax;Fish
Fish;Fish;Commercial Fish;S. aurata;;F/FMsy;S. aurata;Fish
Fish;Fish;Commercial Fish;T. trachurus;;F/FMsy;T. trachurus;Fish
Fish;Fish;Commercial Fish;G. melastomus;;F/FMsy;G. melastomus;Fish
Fish;Fish;Commercial Fish;P. erythrinus;;F/FMsy;P. erythrinus;Fish
Invertebrate fisheries;Benthic Habitats;Invertebrates;A. foliacea;;F/FMsy;A. foliacea;Benthos
Invertebrate fisheries;Benthic Habitats;Invertebrates;S. mantis;;F/FMsy;S. mantis;Benthos
Benthic species;Benthic Habitats;Benthic habitats;;;;Abra alba;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Abra nitida;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Acanthochitona fascicularis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Amphipholis squamata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Amphiura chiajei;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Amphiura filiformis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Anomia ephippium;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Antalis inaequicostata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Aporrhais pespelecani;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Bela brachystoma;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Calyptraea chinensis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Corbula gibba;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Cylichna cylindracea;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Diplodonta rotundata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Dosinia lupinus;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Eulima glabra;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Euspira nitida;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Gari fervensis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Gastrochaena dubia;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Hiatella arctica;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Hyala vitrea;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Kellia suborbicularis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Kurtiella bidentata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Laevicardium crassum;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Loripes lucinalis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Lucinella divaricata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Mangelia attenuata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Mangelia coarctata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Megastomia conoidea;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Monia patelliformis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Myrtea spinifera;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Nassarius mutabilis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Nassarius pygmaeus;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Neolepton obliquatum;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Nucula nitidosa;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Nuculana pella;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Ophiura albida;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Ophiura carnea;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Ophiura grubei;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Ova canaliferus;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Papillicardium papillosum;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Parvicardium exiguum;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Parvicardium minimum;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Pharus legumen;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Phaxas adriaticus;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Phaxasa adriaticus;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Pitar rudis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Retusa umbilicata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Saccella commutata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Saccella illirica;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Spisula subtruncata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Tellina albicans;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Tellina distorta;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Tellina donacina;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Tellina pulchella;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Tellina serrata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Thracia phaseolina;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Thyasira flexuosa;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Timoclea ovata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Trachythyone elongata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Trophonopsis muricata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Turbonilla rufa;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Turritella communis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Venerupis corrugata;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Virgularia mirabilis;Benthic_Habitats
Cetaceans;Mammals;Cetaceans;;;;Tursiops truncatus abundance;Mammals
Fish;Fish;Commercial Fish;S. solea;;F/FMsy;S. solea;Fish
Cetaceans;Mammals;Cetaceans;;;;Stenella coeruleoalba distributional range;Mammals
Cetaceans;Mammals;Cetaceans;;;;Tursiops truncatus by catch;Mammals
Cetaceans;Mammals;Cetaceans;;;;Tursiops truncatus distributional range;Mammals
Benthic species;Benthic Habitats;Benthic habitats;;;;Pennatula rubra;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Acarina;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Anfipoda;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Bivalvia;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Cumacea;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Funiculina quadrangularis;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Gnathostomulida;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Holothuroidea;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Hydroid juveniles;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Isopoda;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Kinorhyncha;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Nauplii;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Nematoda;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Oligochaeta;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Ophiuroidea juveniles;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Polychaeta;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Priapulida larvae;Benthic_Habitats
Benthic species;Benthic Habitats;Benthic habitats;;;;Ptereoides spinosum;Benthic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;Copepoda;Pelagic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;Ostracoda;Pelagic_Habitats
Cetaceans;Mammals;Cetaceans;;;;Grampus griseus abundance;Mammals
Cetaceans;Mammals;Cetaceans;;;;Grampus griseus distributional range;Mammals
Cetaceans;Mammals;Cetaceans;;;;Stenella coeruleoalba abundance;Mammals
Cetaceans;Mammals;Cetaceans;;;;Ziphius cavirostris distributional range;Mammals
Cetaceans;Mammals;Cetaceans;;;;Ziphius cavirostris risk of exposure;Mammals
Fish;Fish;Fish;;;;% of stocks that meet GES based on reproductive capacity;Fish
Fish;Fish;Fish;;;;% of stocks that meet GES based on reproductive capacity and biomass indices;Fish
Fish;Fish;Fish;;;;% Threatened sharks;Fish
Cetaceans;Mammals;Mammals;;;;% Threatened mammals;Mammals
Benthic fauna quality;Benthic Habitats;Benthic habitats;;;BENTIX;Benthic Fauna (BENTIX);Benthic_Habitats
Benthic fauna quality;Benthic Habitats;Benthic habitats;;;BENTIX;Benthic Fauna (Multimetric BENTIX);Benthic_Habitats
Macrophytes;Benthic Habitats;Benthic habitats;;;EEI;Benthic Vegetation (EEI EQR);Benthic_Habitats
Fish;Fish;Commercial Fish;S. smaris;;F/FMsy;S. smaris;Fish
Fish;Fish;Commercial Fish;Black-bellied anglerfish (Lophius budegassa);24;F;F - Black-bellied anglerfish (Lophius budegassa);Fish
Fish;Fish;Commercial Fish;White anglerfish (Lophius piscatorius);25;F;F - White anglerfish (Lophius piscatorius);Fish
Fish;Fish;Commercial Fish;Black-bellied anglerfish (Lophius budegassa);24;SSB;SSB - Black-bellied anglerfish (Lophius budegassa);Fish
Fish;Fish;Commercial Fish;White anglerfish (Lophius piscatorius);25;SSB;SSB - White anglerfish (Lophius piscatorius);Fish
Macrophytes;Benthic Habitats;Macrophytes;;;PREI;PREI;Macrophytes
Macrophytes;Benthic Habitats;Macrophytes;;;EQR;EQR Value;Macrophytes
Macrophytes;Benthic Habitats;Macrophytes;;;;Bentix;Macrophytes
Fish;Fish;Commercial Fish;Greenland halibut (Reinhardtius hippoglossoides);66;F;F - Greenland halibut (Reinhardtius hippoglossoides);Fish
Fish;Fish;Commercial Fish;Greenland halibut (Reinhardtius hippoglossoides);66;SSB;SSB - Greenland halibut (Reinhardtius hippoglossoides);Fish
Birds;Birds;All, Both;;;B1;Abundance All, Both;Birds
Birds;Birds;Grazing feeders, Non-breeding;;;B1;Abundance grazing feeders, Non-breeding;Birds
Birds;Birds;Total, Breeding;;;B1;Abundance total, Breeding;Birds
Birds;Birds;Total, Non-breeding;;;B1;Abundance total, Non-breeding;Birds
Birds;Birds;Water column feeders, Non-breeding;;;B1;Abundance water column feeders, Non-breeding;Birds
Birds;Birds;Pelagic feeders, Breeding;Black Guillemot;92;B3;Bird Breeding Success: Black Guillemot;Birds
Birds;Birds;Pelagic feeders, Breeding;Brunnichs guillemot;95;B3;Bird Breeding Success: Brunnichs guillemot;Birds
Birds;Birds;Surface Feeders, Breeding;Glaucous Gull;359;B3;Bird Breeding Success: Glaucous Gull;Birds
Birds;Birds;Pelagic feeders, Breeding;Little Auk;91;B3;Bird Breeding Success: Little Auk;Birds
Invertebrate fisheries;Benthic Habitats;Commercial Fish;Northern shrimp (Pandalus borealis);4809;F;F - Northern shrimp (Pandalus borealis);Benthos
Birds;Birds;Birds;;;;Abundance of Alle alle at sea (Little auk, sighting data);Birds
Birds;Birds;Birds;;;;Abundance of Fratercula arctica at sea (atlantic puffin, sighting data);Birds
Birds;Birds;Birds;;;;Abundance of Fulmarus glacialis at sea (Northern fulmar, sighting data);Birds
Birds;Birds;Birds;;;;Abundance of Rissa tridactyla at sea (black-legged kittiwake, sighting data);Birds
Birds;Birds;Birds;;;;Abundance of Uria aalge at sea (common guillemot, sighting data);Birds
Birds;Birds;Birds;;;;Abundance of Uria lomvia at sea (polar guillemot, sighting data);Birds
Birds;Birds;Birds;;;;Fratercula arctica Population trend over last 5 yr;Birds
Birds;Birds;Birds;;;;Proportion of non-threatened Benthos-feeding seabird species;Birds
Birds;Birds;Birds;;;;Proportion of non-threatened Pelagos-feeding seabird species;Birds
Birds;Birds;Birds;;;;Rissa tridactyla Population trend over last 5 yr;Birds
Birds;Birds;Birds;;;;Uria aalge Population trend over last 5 yr;Birds
Birds;Birds;Birds;;;;Uria lomvia Breeding success over last 3 yr;Birds
Birds;Birds;Birds;;;;Uria lomvia Population trend over last 5 yr;Birds
Fish;Fish;Fish;;;;Gadus morhua SSB (COD in Subareas I and II);Fish
Fish;Fish;Fish;;;;Hippoglosoides platessoides 0-group abundance (Long rough dab - 0-group - Abundance indices);Fish
Fish;Fish;Fish;;;SSB;Melanogrammus aeglefinus SSB (HADDOCK in Subareas I and II);Fish
Fish;Fish;Fish;;;;Proportion of non-threatened Fish species (according to Norwegian red list);Fish
Cetaceans;Mammals;Cetaceans;;;;Proportion of non-threatened Cetacean species (from Norwegian Red list);Mammals
Zooplankton;Pelagic Habitats;Zooplankton;;;;Abundance level of Calanus finmarchicus;Pelagic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;Biomass of zooplankton [>2 mm];Pelagic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;Biomass of zooplankton [0.18 mm-1 mm];Pelagic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;Biomass of zooplankton [1 mm-2 mm];Pelagic_Habitats
Birds;Birds;Birds;;;;Rissa tridactyla Breeding success over last 5 yr;Birds
Cetaceans;Mammals;Cetaceans;;;;Proportion of non-threatened coastal mammal species (3 species);Mammals
Cetaceans;Mammals;Cetaceans;;;;Proportion of non-threatened pagophiletic Mammals;Mammals
Benthic fauna quality;Benthic Habitats;Benthic habitats;;;;Stock of Pandalus borealis (NORTHERN SHRIMP IN THE BARENTS SEA (ICES SUB-AREAS I AND II));Benthic_Habitats
Benthic fauna quality;Benthic Habitats;Benthic habitats;;;ES100;ES100;Benthic_Habitats
Benthic fauna quality;Benthic Habitats;Benthic habitats;;;;evenness [macrofauna];Benthic_Habitats
Macroalgae;Benthic Habitats;Macrophytes;;;;Kelp forest extent;Benthic_Habitats
Birds;Birds;Wading feeders, Non-breeding;;;B1;Abundance wading feeders, Non-breeding;Birds
Birds;Birds;Surface feeders, Breeding;;;B1;Bird Abundance surface feeders, Breeding;Birds
Birds;Birds;Surface Feeders, Breeding;Manx Shearwater;146;B3;Bird Breeding Success: Manx Shearwater;Birds
Fish;Fish;Commercial Fish;Whiting (Merlangius merlangus);13;F;F - Whiting (Merlangius merlangus);Fish
Fish;Fish;Commercial Fish;Whiting (Merlangius merlangus);13;SSB;SSB - Whiting (Merlangius merlangus);Fish
Birds;Birds;Birds;;;;Biological value Seabirds;Birds
Fish;Fish;Fish;;;MBV;Biological value Demersal Fish;Fish
Cetaceans;Mammals;Mammals;;;;Biological value Mammals;Mammals
Fish;Fish;Fish;;;;Catch-biomass ratio Engraulis;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation Engraulis;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation L. boscii;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation L. budegassa;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation L. piscatorius;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation L. whiffiagonis;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation Merluccius;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation Micromesistius;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation Scomber;Fish
Fish;Fish;Fish;;;;Fish larger than mean size 1st sexual maturation Trachurus;Fish
Fish;Fish;Fish;;;F;Fishing mortality L. boscii (8c9a);Fish
Fish;Fish;Fish;;;F;Fishing mortality L. budegassa (VIIIC & Ixa);Fish
Fish;Fish;Fish;;;F;Fishing mortality L. piscatorius;Fish
Fish;Fish;Fish;;;F;Fishing mortality L. whiffiagonis (8c9a);Fish
Fish;Fish;Fish;;;F;Fishing Mortality Merluccius  Iberian Waters;Fish
Fish;Fish;Fish;;;F;Fishing mortality Merluccius BoB+North;Fish
Fish;Fish;Fish;;;F;Fishing mortality Micromesistius (I-IX);Fish
Fish;Fish;Fish;;;F;Fishing mortality Sardine VIIIc+Ixa;Fish
Fish;Fish;Fish;;;F;Fishing mortality Scomber (NEAM);Fish
Fish;Fish;Fish;;;F;Fishing mortality T. alalunga;Fish
Fish;Fish;Fish;;;F;Fishing mortality T. thynnus;Fish
Fish;Fish;Fish;;;F;Fishing mortality Trachurus;Fish
Fish;Fish;Fish;;;LFI;Proportion of fish larger than 1000 mm;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Engraulis;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass L. boscii (8c9a);Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass L. budegassa BoBiscay;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass L. piscatorius BoBiscay;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass L. whiffiagonis (8c9a);Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Merluccius BoBiscay+North;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Merluccius Iberian Waters;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Micromesistius;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Sardine VIIIc-Ixa;Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Scomber (NEAM);Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass T. alalunga (Natlantic stock);Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass T. thynnus East Atlantic + Med);Fish
Fish;Fish;Fish;;;SSB;Spawning-stock biomass Trachurus;Fish
Macroalgae;Benthic Habitats;Macrophytes;;;;Biological value Macroalgae;Benthic_Habitats
Benthic fauna quality;Benthic Habitats;Benthic habitats;;;;Biological value Macroinvertebrates;Benthic_Habitats
Zooplankton;Pelagic Habitats;Zooplankton;;;;Biological value Zooplankton;Pelagic_Habitats
Phytoplankton;Pelagic Habitats;Phytoplankton;;;;Blooms of any phytoplankton taxa;Pelagic_Habitats
